\(\overset{れんきん}{\underset{Alchemy}{錬金}}\overset{じゅつ}{\underset{Art}{術}}は\overset{かがく}{\underset{Study}{科学}}だ。\)	Alchemy is a science.	Fullmetal Alchemist Ep.1-2	Key series term.
\(そんな\overset{うわさ}{\underset{Rumor}{噂}}を\overset{き}{\underset{Hear}{聞}}いたことがある。\)	I’ve heard that rumor before.	Fullmetal Alchemist Ep.1-2	Common pattern ～ことがある.
\(みんなのために\overset{たたか}{\underset{Fight}{戦}}う。\)	I fight for everyone.	Fullmetal Alchemist Ep.1-2	ために = for the sake of.
\(\overset{かなら}{\underset{Surely}{必}}ず\overset{もど}{\underset{Return}{戻}}ってくる。\)	I’ll definitely come back.	Fullmetal Alchemist Ep.1-2	Common expression.
\(\overset{れんせいじん}{\underset{Transmutation Circle}{錬成陣}}を\overset{えが}{\underset{Draw}{描}}いてくれ。\)	Draw the transmutation circle.	Fullmetal Alchemist Ep.1-2	Key alchemy vocabulary.
\(この\overset{きかい}{\underset{Machine}{機械}}はもう\overset{うご}{\underset{Move}{動}}かない。\)	This machine no longer works.	Fullmetal Alchemist Ep.1-2	Common machine vocabulary.
\(\overset{はがね}{\underset{Steel}{鋼}}のように\overset{つよ}{\underset{Strong}{強}}くなりたい。\)	I want to become strong like steel.	Fullmetal Alchemist Ep.1-2	Title-related word.
\(それは\overset{きんき}{\underset{Taboo}{禁忌}}だ。\)	That is taboo.	Fullmetal Alchemist Ep.1-2	Common dramatic line.
\(\overset{しょうご}{\underset{Shougo}{翔吾}}さんを\overset{し}{\underset{Know}{知}}っていますか。\)	Do you know Mr. Shougo?	Fullmetal Alchemist Ep.1-2	Name card.
\(\overset{うしな}{\underset{Lose}{失}}ったものは\overset{おお}{\underset{Big}{大}}きい。\)	What we lost was great.	Fullmetal Alchemist Ep.1-2	Past relative clause.
\(\overset{かね}{\underset{Money}{金}}が\overset{ひつよう}{\underset{Necessary}{必要}}だ。\)	We need money.	Fullmetal Alchemist Ep.1-2	Probably 金 “money,” not bell.
\(もっと\overset{た}{\underset{Eat}{食}}べさせてください。\)	Please let me eat more.	Fullmetal Alchemist Ep.1-2	Causative request.
\(すまない、\overset{おく}{\underset{Late}{遅}}くなった。\)	Sorry, I’m late.	Fullmetal Alchemist Ep.1-2	Common apology.
\(ずっと\overset{ま}{\underset{Wait}{待}}っていた。\)	I’ve been waiting all along.	Fullmetal Alchemist Ep.1-2	Common expression.
\(\overset{い}{\underset{Go}{行}}かなければならない。\)	I have to go.	Fullmetal Alchemist Ep.1-2	Obligation pattern ～なければならない.
\(\overset{かれ}{\underset{He}{彼}}以上の\overset{おとこ}{\underset{Man}{男}}はいない。\)	There’s no man better than him.	Baki	Interpreting “kareijo-” as 彼以上.
\(\overset{ま}{\underset{Lose}{負}}けは\overset{ま}{\underset{Lose}{負}}けよ。\)	A loss is a loss.	Baki	Colloquial acceptance.
\(あまり\overset{つよ}{\underset{Strong}{強}}くない。\)	Not very strong.	Baki	Common あまり + negative.
\(もっと\overset{つよ}{\underset{Strong}{強}}くなりたい。\)	I want to become stronger.	Baki	Frequent learner phrase.
\(ぜひ\overset{み}{\underset{See}{見}}てください。\)	Please watch it by all means.	Baki	Polite recommendation.
