私の\stackrel{ねんれい}{\underset{year-age}{年齢}}を\stackrel{あ}{\underset{hit}{当}}てて。	Guess my age.	inbox.md	Casual guessing expression.
\stackrel{さいご}{\underset{last}{最後}}のチャンスだ。	It's the last chance.	inbox.md	Very common dramatic expression.
\stackrel{あ}{\underset{light}{明}}かりをつける。	Turn on the light.	inbox.md	Useful daily-life phrase.
\stackrel{す}{\underset{dwell}{住}}んでいます。	I live there.	inbox.md	Polite progressive form.
\stackrel{はなし}{\underset{talk}{話}}を\stackrel{き}{\underset{hear}{聞}}かせてくれ。	Tell me the story.	inbox.md	Masculine casual request.
\stackrel{たの}{\underset{rely}{頼}}むよ。	I'm counting on you.	inbox.md	Casual reliance/request phrase.
\stackrel{さいしょ}{\underset{beginning}{最初}}に\stackrel{じこしょうかい}{\underset{self-introduction}{自己紹介}}をします。	First, I will introduce myself.	inbox.md	Common classroom/business phrase.
\stackrel{あめ}{\underset{rain}{雨}}が\stackrel{ふ}{\underset{fall}{降}}るかもしれない。	It might rain.	inbox.md	Very common uncertainty grammar.
\stackrel{あした}{\underset{tomorrow}{明日}}の\stackrel{よてい}{\underset{schedule}{予定}}を\stackrel{き}{\underset{decide}{決}}めました。	I decided tomorrow's schedule.	inbox.md	Past polite form.
それは\stackrel{かんけい}{\underset{connection}{関係}}ない。	That's unrelated.	inbox.md	Common conversational phrase.
すみません、ゆっくりお\stackrel{ねが}{\underset{petition}{願}}いします。	Excuse me, please speak slowly.	inbox.md	Useful immersion survival phrase.
\stackrel{やさい}{\underset{vegetable}{野菜}}を\stackrel{た}{\underset{eat}{食}}べます。	I eat vegetables.	inbox.md	Simple daily-life sentence.
\stackrel{かれし}{\underset{boyfriend}{彼氏}}がいます。	I have a boyfriend.	inbox.md	Basic relationship vocabulary.
\stackrel{ことば}{\underset{word}{言葉}}がわからない。	I don't understand the language.	inbox.md	Useful beginner immersion phrase.
\stackrel{おし}{\underset{teach}{教}}えてくれ。	Tell me.	inbox.md	Rough casual imperative request.
\stackrel{たぶん}{\underset{perhaps}{多分}}\stackrel{ま}{\underset{wrong}{間違}}いない。	It's probably correct.	inbox.md	Natural hedge + certainty combo.
\stackrel{さいきん}{\underset{recent}{最近}}、\stackrel{いそが}{\underset{busy}{忙}}しい。	I've been busy recently.	inbox.md	Very common casual statement.
\stackrel{ぜったい}{\underset{absolute}{絶対}}に\stackrel{ゆる}{\underset{permit}{許}}さない。	I will never forgive you.	inbox.md	Strong emotional expression.
\stackrel{おもしろ}{\underset{interesting}{面白}}い。	That's interesting.	inbox.md	Core adjective.
\stackrel{でんしゃ}{\underset{train}{電車}}がまもなく\stackrel{とうちゃく}{\underset{arrive}{到着}}します。	The train will arrive shortly.	inbox.md	Useful station announcement pattern.
\stackrel{むり}{\underset{impossible}{無理}}だ。	That's impossible.	inbox.md	Extremely common conversational word.
\stackrel{たいへん}{\underset{serious}{大変}}な\stackrel{しごと}{\underset{work}{仕事}}だ。	It's a tough job.	inbox.md	Common な-adjective usage.
\stackrel{まさか}{\underset{no-way}{まさか}}、\stackrel{かれ}{\underset{he}{彼}}が来るとは！	No way, he's coming!	inbox.md	Natural surprise reaction.
\stackrel{ひさ}{\underset{long-time}{久}}しぶり！	Long time no see!	inbox.md	Very common greeting.
\stackrel{たの}{\underset{enjoy}{楽}}しい！	This is fun!	inbox.md	Core i-adjective.
